L,U,V,t,β,δ,m,uS,ud,vd,Qm,QuS,Qud,Qvd,Converged,I,f,g,g0,ΔT,μ
128,1.0,0.3,1.0,100.0,0.0,0.06912379378896835,0.4042310474730878,-9.780770540701589e-9,-5.828201817459191e-12,0.9594203633379317,0.05436373281431095,9.369055124593916e-5,3.108446879078435e-8,true,16,-1.5726859730899194,0.5,0.5,0.46490433,0.0
128,1.0,0.4,1.0,100.0,0.0,0.07209587076258814,0.40411761196184426,-6.213564388707349e-9,-1.0207116413105375e-14,0.8914284785286608,0.07254637597742253,4.7550206207879016e-5,4.6087779438119814e-11,true,15,-1.5563474269743147,0.5,0.5,0.38918964,0.0
128,1.0,0.5,1.0,100.0,0.0,0.07529227138308256,0.4039874593071183,-1.3236952690204307e-8,-3.920596597163266e-22,0.8933552352492768,0.18650506485595741,8.601307360227853e-5,1.5785359993678255e-18,true,13,-1.540018634701291,0.5,0.5,0.493435172,0.0
128,1.0,0.6,1.0,100.0,0.0,0.07845382954094446,0.4038501912260003,-3.763882496995996e-8,7.168361954612089e-13,0.6959536125865362,0.6264855138478076,0.00021545413085637078,2.650810273134505e-9,true,11,-1.5237009529335206,0.5,0.5,0.145984225,0.0
128,1.0,0.7,1.0,100.0,0.0,0.08137788497883583,0.40371548838445825,-5.331265835045729e-9,1.097509647253009e-9,0.049666368863388044,0.5983401059125315,2.753562271536167e-5,3.7959594936896094e-6,true,11,-1.5073956834409503,0.5,0.5,0.299830186,0.0
128,1.0,0.8,1.0,100.0,0.0,0.08446220935852125,0.4035651535586401,-3.7649944273354663e-10,1.7666389247445286e-8,0.6329952844661979,0.5654010757629724,1.7866710907656807e-6,5.794038987711575e-5,true,11,-1.4911040559521762,0.5,0.5,0.140914657,0.0
128,1.0,0.9,1.0,100.0,0.0,0.08812582168672295,0.40337530523943504,-5.3138049516121555e-14,-9.639607795207567e-8,0.9385094159116425,0.09972764508692222,2.3504688592603656e-10,0.0003031267184726523,true,13,-1.4748280872190627,0.5,0.5,0.430581913,0.0
128,1.0,1.0,1.0,100.0,0.0,0.09221216581689265,0.4031486841295127,6.938893903907228e-18,-7.376872201592698e-7,0.9984118540229125,0.019315512224116205,3.1202999710953916e-14,0.002241749702269238,true,15,-1.458569861719634,0.5,0.5,0.337486749,0.0
128,1.0,1.1,1.0,100.0,0.0,0.09661758363411713,0.40288625433054176,2.7755575615628914e-17,-4.4055167968831495e-6,0.9323281362405844,0.04766353646445953,5.208490295961418e-14,0.013012135012253035,true,17,-1.442331560947117,0.5,0.5,0.244474247,0.0
128,1.0,1.2,1.0,100.0,0.0,0.10112197775764276,0.4025978575029425,-2.0816681711721685e-17,4.240424959731701e-5,0.9971122694514278,0.060780052089981496,5.6690538731191033e-14,0.12221022412053163,true,18,-1.4261155630793445,0.5,0.5,0.214843272,0.0
128,1.0,1.3,1.0,100.0,0.0,0.10602319068705385,0.40226020321912126,-0.0,0.00024509321131046743,0.863555891397888,0.059877608766800705,1.0529228339301792e-14,0.6918600506845429,true,20,-1.409925128251975,0.5,0.5,0.454980079,0.0
128,1.0,1.4,1.0,100.0,0.0,0.11159005711701091,0.40184545901953217,-6.938893903907228e-18,-0.0002998938569816216,0.1968231900179862,0.015139925145790656,1.985855515117785e-14,0.8321678801792859,true,29,-1.3937631428151684,0.5,0.5,0.382269133,0.0
128,1.0,1.5,1.0,100.0,0.0,0.11698477404093707,0.40141063650715947,-3.469446951953614e-18,0.0003286317377140428,0.013032142034963279,0.001048856558050204,1.6113407001446473e-14,0.8975995428210615,true,48,-1.37763298855632,0.5,0.5,1.382784875,0.0
128,1.0,1.6,1.0,100.0,0.0,NaN,0.40093218761965643,2.42861286636753e-17,NaN,0.00129453785360778,6.798493457083055e-5,7.718828529967109e-14,1.753211500761102,false,100,NaN,0.5,0.5,1.348736247,0.0
128,1.0,1.7,1.0,100.0,0.0,NaN,NaN,2.7755575615628914e-17,NaN,0.23083721357269882,0.006626935861508976,5.556112873167141e-14,159.50686823905787,false,100,NaN,0.5,0.5,1.71535787,0.0
128,1.0,1.8,1.0,100.0,0.0,NaN,NaN,2.42861286636753e-17,NaN,0.04985159776924042,0.0012452433200138557,6.774245929777442e-14,303.83181104899836,false,100,NaN,0.5,0.5,2.760468461,0.0
