L,U,V,t,β,δ,uS,wS,ws,QuS,QwS,Qws,I,f,g,g0,ΔT,μ
128,1.0,2.4,1.0,100.0,0.0,0.555556196548576,0.29495909664940556,5.893779791224518e-7,0.8640398627435264,0.919523961876223,0.0019550941839129514,13,-1.5291828004889867,0.5,0.5,0.172194447,0.0
128,1.0,2.5,1.0,100.0,0.0,0.5333337027300198,0.3050507538660804,6.705612187046794e-8,0.6492845120436019,0.7440099249997889,0.00022872573486995408,13,-1.5323996833536895,0.5,0.5,0.168624871,0.0
128,1.0,2.6,1.0,100.0,0.0,0.5128207519478003,0.31372889866299114,6.5919225911148516e-9,0.5237754028746266,0.6417390212358765,2.3100388255504914e-5,13,-1.5378956892094822,0.5,0.5,0.154501814,0.0
128,1.0,2.7,1.0,100.0,0.0,0.49382732542537205,0.32126327088960244,5.174532191620784e-10,0.4367829683146196,0.568949011848896,1.8613398831093293e-6,13,-1.5454175499927179,0.5,0.5,0.168616927,0.0
128,1.0,2.8,1.0,100.0,0.0,0.47619059295219723,0.3278580788478583,2.8710644972562704e-11,0.36584720443577634,0.5042552591156824,1.0591372736494292e-7,13,-1.5547481960088358,0.5,0.5,0.176617538,0.0
128,1.0,2.9,1.0,100.0,0.0,0.45977028725867863,0.33367118608172774,-1.504302238330979e-11,0.6270692027867675,0.9109219158116577,5.6847107723174625e-8,12,-1.5657003709522843,0.5,0.5,0.160844307,0.0
128,1.0,3.0,1.0,100.0,0.0,0.44444458115262686,0.33882730272331485,-3.2335245592207684e-13,0.5712753399041981,0.8716616295503243,1.2509433389867354e-9,12,-1.5781121584113706,0.5,0.5,0.147194743,0.0
128,1.0,3.1,1.0,100.0,0.0,0.43010764494671583,0.34342577218194825,-6.591949208711867e-16,0.5539507253196074,0.8851858250686906,2.8037468180475145e-12,12,-1.591842174742014,0.5,0.5,0.148011362,0.0
128,1.0,3.2,1.0,100.0,0.0,0.4166667806583362,0.34754718314243094,6.938893903907228e-18,0.552414963982617,0.922123509847772,1.729980091472183e-14,12,-1.6067668438451848,0.5,0.5,0.15866564,0.0
128,1.0,3.3,1.0,100.0,0.0,0.4040405391037639,0.35125752995118187,-2.7755575615628914e-17,0.5470891391172739,0.9519416351759791,9.063252535621014e-14,12,-1.6227775770577435,0.5,0.5,0.159936632,0.0
128,1.0,3.4,1.0,100.0,0.0,0.3921570703850519,0.3546113843856894,4.0939474033052647e-16,0.527913419195225,0.9558670086299292,1.5962098721782059e-12,12,-1.6397785683223178,0.5,0.5,0.153498162,0.0
128,1.0,3.5,1.0,100.0,0.0,0.38095275284770624,0.35765426666047073,1.3031242751537775e-14,0.49298877412007336,0.9277715780144913,5.5624030229940724e-11,12,-1.6576849684132782,0.5,0.5,0.145710092,0.0
128,1.0,3.6,1.0,100.0,0.0,0.37037103193468657,0.360424448791693,2.67841304690819e-14,0.4453141969316121,0.870572706445194,1.1657114076107922e-10,12,-1.676421352253532,0.5,0.5,0.155580248,0.0
128,1.0,3.7,1.0,100.0,0.0,0.360361423111202,0.3629543465611812,-1.6868451080398472e-14,0.3904133864838233,0.7928674743175046,7.48360520688024e-11,12,-1.695920418399072,0.5,0.5,0.159511911,0.0
128,1.0,3.8,1.0,100.0,0.0,0.3508786686151121,0.3652716025363291,-3.5589586833140174e-14,0.3350725163080437,0.7068511494421337,1.610200688062502e-10,12,-1.7161218910146157,0.5,0.5,0.157946985,0.0
128,1.0,3.9,1.0,100.0,0.0,0.341882048370664,0.36739993162534335,2.9013597080407294e-13,0.28644955812817674,0.6266631539380008,1.3311874931358492e-9,12,-1.7369716068968628,0.5,0.5,0.147225652,0.0
128,1.0,4.0,1.0,100.0,0.0,0.3333348272627342,0.3693597856069288,1.0488415691511932e-12,0.2509139866893051,0.5659950352839838,4.8857531789823355e-9,12,-1.758420761578769,0.5,0.5,0.148205709,0.0
128,1.5,0.0,1.0,100.0,0.0,0.8104611853619168,1.2705494208814505e-21,6.050037195873121e-5,0.7002211777875633,0.09765625,0.17593041845649887,12,-1.6212287298543948,0.5,0.5,0.159797047,0.0
128,1.5,0.1,1.0,100.0,0.0,0.8104583918844728,1.2950794873562971e-6,0.00010001568113239339,0.7003150891127241,0.12006850223394244,0.2884301537013426,12,-1.6212286442980413,0.5,0.5,0.159952868,0.0
